MAPK3,ATF2
MAPK3,RAF1
MAPK3,MAPK1
MAPK3,KRAS
MAPK3,GNAI3
MAPK3,DUSP1
MAPK3,PPP2CA
MAPK3,MAP2K1
MAPK3,HRAS
MAPK3,CREB1
MAPK3,GNAO1
MAPK3,BRAF
MAPK3,ARRB2
MAPK3,PTGS2
MAPK3,BCL2
MAPK3,FOS
PLD2,PRKCA
PLD2,FYN
PLD2,PLA2G4A
PLD2,MAPK1
SLC17A6,SLC32A1
GRIN2D,CAMK2G
GRIN2D,DLG4
GRIN2D,GRIN1
GRIN2D,CAMK2B
PRKCG,GRIA4
AKT3,PIK3CD
AKT3,GSK3A
AKT3,PIK3CB
AKT3,PIK3CG
AKT3,PIK3R1
AKT3,CREB1
AKT3,GSK3B
AKT3,PIK3CA
PIK3CA,AKT3
PIK3CA,MAP2K1
PIK3CA,GNAQ
PIK3CA,PIK3R1
PIK3CA,NRAS
PIK3CA,SRC
PIK3CA,PIK3R3
PIK3CA,GSK3B
PIK3CA,FYN
PIK3CA,AKT1
PIK3CA,KRAS
PIK3CA,RAF1
PIK3CA,PIK3R2
PIK3CA,CREB1
PIK3CA,JAK2
PIK3CA,AKT2
PIK3CA,HRAS
ATF2,CREB5
ATF2,MAPK10
ATF2,DUSP1
ATF2,ATF4
ATF2,MAPK3
ATF2,MAPK11
ATF2,MAPK12
ATF2,MAPK14
ATF2,MAPK9
ATF2,MAPK8
ATF2,MAPK13
ATF2,MAPK1
ATF2,FOS
ATF2,CREB1
GRIA3,DLG4
GRIA3,CAMK2G
GRIA3,GRIA2
GRIA3,NSF
GRIA2,GRIA4
GRIA2,NSF
GRIA2,DLG4
GRIA2,CAMK2G
GRIA2,GRIA3
KCNN2,CALM1
PPP2R3A,PPP2R2A
PPP2R3A,PPP2R1A
PPP2R3A,PPP2CA
PPP2R3A,PPP2R5C
PPP2R3A,PPP2R5A
CACNA1C,CACNA1D
CACNA1C,CALM1
CACNA1C,CACNA1F
CACNA1C,CALM2
ABAT,GAD1
ABAT,GLUL
ABAT,GAD2
ARRB2,GRK2
ARRB2,MAPK3
ARRB2,GRK3
ARRB2,MAPK1
AKT1,BCL2
AKT1,PIK3CG
AKT1,PIK3R1
AKT1,PIK3CA
AKT1,GSK3B
AKT1,RAF1
AKT1,PIK3CD
AKT1,PPP2R5C
AKT1,CREB1
AKT1,PIK3CB
AKT1,GSK3A
AKT1,PIK3R3
AKT1,PPP2CA
AKT1,CASP3
AKT1,PPP2R1A
AKT1,SRC
SLC6A3,DRD2
CALM1,CACNA1B
CALM1,KCNQ1
CALM1,GRIN1
CALM1,KCNN2
CALM1,PPP3CC
CALM1,CAMK2A
CALM1,DLG4
CALM1,CAMK2D
CALM1,SCN1A
CALM1,CACNA1C
CALM1,CAMK2B
CALM1,CACNA1A
CALM1,PPP3CB
CALM1,PPP3CA
